"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","6548","Data Driven Testing and","chromium","2026-07-18","passed","2026-07-18","","dataDrivenTesting.spec.ts","",""
"","26891","Data Driven Testing and Learning@830$3mK2","chromium","2026-07-18","passed","2026-07-18","","dataDrivenTesting.spec.ts","",""
"","31407","Data Driven Testing rahulshettyacademy and Learning@8","chromium","2026-07-18","passed","2026-07-18","","dataDrivenTesting.spec.ts","",""
"","32397","Data Driven Testing rahulshettyacademy and Learning@830$3mK2","chromium","2026-07-18","passed","2026-07-18","","dataDrivenTesting.spec.ts","",""
"","29030","Data Driven Testing rahulshetty and Learning@830$3mK2","chromium","2026-07-18","passed","2026-07-18","","dataDrivenTesting.spec.ts","",""
